item_id,model_label,n_params_b,source_benchmark,topic,has_diagram,answer_type,d_c,question_chars,answer_chars,solution_chars,tokens_in,tokens_out,latency_s,is_correct,answer_type_proxy,benchmark_difficulty,benchmark_subfield,question_number_count,solution_number_count,question_equation_count,solution_equation_count,body_entity_term_count,latex_symbol_count
PHYBench_88,Qwen14B,14.0,PHYBench,MODERN,0,formula,2,1639,149,2915,475.0,582.0,12.63,0,formula,,,12,62,0,20,4,244
PHYBench_105,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,1,907,16,1294,356.0,686.0,14.81,0,formula,,,9,12,6,11,4,130
PHYBench_617,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,2,941,51,2001,267.0,861.0,18.75,0,formula,,,1,67,1,20,10,137
PHYBench_702,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,0,1012,51,4686,311.0,597.0,12.7,0,formula,,,5,163,0,20,4,296
PHYBench_367,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,0,432,92,2458,192.0,668.0,14.45,0,formula,,,6,99,1,18,6,174
PHYBench_497,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,1,1041,83,1423,303.0,392.0,8.47,0,formula,,,4,78,0,11,20,103
PHYBench_457,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,2,696,297,881,212.0,791.0,17.06,0,formula,,,0,37,0,6,1,65
PHYBench_432,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,1,985,139,690,293.0,842.0,18.45,0,formula,,,2,45,0,8,7,63
PHYBench_284,Qwen14B,14.0,PHYBench,OPTICS,0,formula,0,1221,107,1745,357.0,253.0,5.57,0,formula,,,12,73,1,8,0,124
PHYBench_39,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,1,626,47,495,205.0,595.0,12.9,1,formula,,,4,10,0,3,5,16
PHYBench_124,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,1,514,52,1797,190.0,486.0,10.52,0,formula,,,2,36,0,16,10,150
PHYBench_55,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,0,731,70,1621,227.0,642.0,14.02,0,formula,,,1,27,0,11,8,52
PHYBench_419,Qwen14B,14.0,PHYBench,OPTICS,0,formula,0,710,258,1026,254.0,1024.0,22.17,0,formula,,,9,54,1,6,0,101
PHYBench_458,Qwen14B,14.0,PHYBench,ADVANCED,0,formula,1,597,47,507,242.0,482.0,10.61,0,formula,,,1,21,1,5,0,48
PHYBench_206,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,0,675,206,1318,251.0,280.0,6.06,0,formula,,,6,31,4,12,0,106
PHYBench_204,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,0,658,81,769,217.0,834.0,17.94,0,formula,,,2,40,2,5,6,56
PHYBench_478,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,1,795,41,670,241.0,335.0,7.4,1,formula,,,2,18,0,4,8,33
PHYBench_71,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,2,1173,105,5316,394.0,702.0,15.19,0,formula,,,7,47,2,27,6,257
PHYBench_259,Qwen14B,14.0,PHYBench,MODERN,0,formula,0,743,55,3134,250.0,880.0,19.06,0,formula,,,2,90,3,20,2,123
PHYBench_766,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,2,367,73,3076,155.0,1024.0,22.53,0,formula,,,0,79,0,20,4,174
PHYBench_716,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,2,1577,49,987,395.0,506.0,11.03,0,formula,,,2,43,0,8,10,47
PHYBench_103,Qwen14B,14.0,PHYBench,THERMODYNAMICS,0,formula,1,744,30,1250,271.0,696.0,15.12,0,formula,,,12,23,1,9,0,47
PHYBench_310,Qwen14B,14.0,PHYBench,MODERN,0,formula,3,550,151,510,196.0,657.0,14.22,0,formula,,,3,33,0,3,3,45
PHYBench_110,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,2,597,73,1420,221.0,437.0,9.59,0,formula,,,10,27,0,14,3,83
PHYBench_256,Qwen14B,14.0,PHYBench,MODERN,0,formula,3,906,34,2057,310.0,464.0,10.22,0,formula,,,9,82,4,20,6,138
PHYBench_112,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,2,563,71,5191,204.0,1013.0,22.27,0,formula,,,4,140,1,24,5,346
PHYBench_505,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,1,1370,108,818,379.0,897.0,19.4,0,formula,,,6,11,1,9,7,50
PHYBench_331,Qwen14B,14.0,PHYBench,OPTICS,0,formula,0,1229,71,1503,308.0,434.0,9.45,0,formula,,,1,34,1,9,0,131
PHYBench_498,Qwen14B,14.0,PHYBench,OPTICS,0,formula,0,1483,219,4675,396.0,794.0,17.04,0,formula,,,4,164,2,20,0,433
PHYBench_737,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,3,592,45,1500,208.0,829.0,18.15,0,formula,,,1,102,1,12,4,100
PHYBench_636,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,3,725,74,2021,249.0,575.0,12.42,0,formula,,,7,116,0,14,6,173
PHYBench_420,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,1,982,40,2051,286.0,202.0,4.42,0,formula,,,2,67,1,19,2,84
PHYBench_228,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,3,887,162,3088,268.0,385.0,8.33,0,formula,,,7,99,0,16,9,150
PHYBench_450,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,2,767,104,719,234.0,703.0,15.36,0,formula,,,3,23,1,6,1,48
PHYBench_708,Qwen14B,14.0,PHYBench,OPTICS,0,formula,0,1353,66,1571,367.0,802.0,17.31,0,formula,,,5,38,1,12,2,119
PHYBench_649,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,3,915,96,1531,284.0,720.0,15.31,0,formula,,,5,83,2,9,8,114
PHYBench_688,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,3,547,39,3170,198.0,665.0,14.31,0,formula,,,3,179,1,20,4,194
PHYBench_118,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,1,256,29,791,140.0,450.0,9.77,0,formula,,,1,24,1,7,0,25
PHYBench_318,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,0,433,60,650,172.0,620.0,13.35,0,formula,,,2,21,1,9,2,54
PHYBench_62,Qwen14B,14.0,PHYBench,ADVANCED,0,formula,1,1959,28,1287,704.0,916.0,19.94,0,formula,,,31,34,10,8,0,192
PHYBench_143,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,0,432,52,4134,159.0,245.0,5.37,0,formula,,,0,74,0,20,5,157
PHYBench_401,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,3,702,69,2545,225.0,750.0,16.21,0,formula,,,3,61,0,20,4,133
PHYBench_443,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,0,2090,105,1978,568.0,582.0,12.67,0,formula,,,15,94,5,20,6,161
PHYBench_115,Qwen14B,14.0,PHYBench,ADVANCED,0,formula,1,1097,161,3972,343.0,647.0,13.99,0,formula,,,12,120,2,26,8,298
PHYBench_493,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,2,990,92,2632,283.0,658.0,14.38,0,formula,,,2,202,0,16,1,217
PHYBench_69,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,3,2905,102,4543,834.0,527.0,11.9,0,formula,,,21,129,5,20,13,398
PHYBench_65,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,2,818,62,3674,237.0,294.0,6.4,0,formula,,,2,31,0,15,5,125
PHYBench_131,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,0,680,26,918,263.0,446.0,9.75,0,formula,,,4,22,1,5,3,46
PHYBench_709,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,1,879,45,1845,272.0,472.0,10.47,0,formula,,,0,68,0,15,0,130
PHYBench_423,Qwen14B,14.0,PHYBench,THERMODYNAMICS,0,formula,1,643,105,3319,270.0,1024.0,22.0,0,formula,,,2,138,12,32,1,244
PHYBench_36,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,2,914,62,3560,305.0,1021.0,22.04,0,formula,,,6,171,3,18,2,218
PHYBench_333,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,2,477,170,1333,195.0,365.0,7.91,0,formula,,,3,54,0,13,1,108
PHYBench_50,Qwen14B,14.0,PHYBench,THERMODYNAMICS,0,formula,1,820,182,3555,256.0,543.0,11.68,0,formula,,,5,64,0,20,10,158
PHYBench_221,Qwen14B,14.0,PHYBench,MODERN,0,formula,3,853,403,1530,289.0,803.0,17.38,0,formula,,,7,72,1,17,8,115
PHYBench_120,Qwen14B,14.0,PHYBench,THERMODYNAMICS,0,formula,1,445,54,875,169.0,390.0,8.51,0,formula,,,2,15,0,6,1,44
PHYBench_121,Qwen14B,14.0,PHYBench,MODERN,0,formula,0,620,177,2348,201.0,701.0,15.15,0,formula,,,2,120,0,16,0,170
PHYBench_648,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,3,933,109,2373,276.0,810.0,17.27,0,formula,,,3,43,0,20,7,78
PHYBench_72,Qwen14B,14.0,PHYBench,THERMODYNAMICS,0,formula,1,1076,25,1823,329.0,1024.0,22.14,0,formula,,,8,121,3,20,2,132
PHYBench_603,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,0,1547,59,605,398.0,556.0,12.15,0,formula,,,4,14,2,7,9,37
PHYBench_670,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,1,1504,60,1434,451.0,1024.0,22.25,0,formula,,,7,37,3,16,15,109
PHYBench_140,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,0,372,24,834,147.0,178.0,3.94,0,formula,,,0,21,0,8,4,27
PHYBench_653,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,2,1030,41,2291,294.0,501.0,10.86,0,formula,,,1,86,0,20,1,189
PHYBench_719,Qwen14B,14.0,PHYBench,THERMODYNAMICS,0,formula,1,919,42,2013,313.0,988.0,21.47,0,formula,,,5,17,1,11,8,61
PHYBench_211,Qwen14B,14.0,PHYBench,MODERN,0,formula,0,691,39,3330,264.0,674.0,14.67,0,formula,,,5,93,4,20,0,231
PHYBench_139,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,0,506,69,1236,192.0,652.0,14.02,0,formula,,,3,42,1,11,0,88
PHYBench_106,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,1,685,35,641,211.0,353.0,7.67,0,formula,,,1,26,0,3,8,38
PHYBench_58,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,0,1656,37,3243,593.0,443.0,9.71,0,formula,,,43,160,6,20,0,173
PHYBench_412,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,0,1549,302,1064,446.0,890.0,19.13,0,formula,,,6,86,1,6,1,105
PHYBench_43,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,1,703,439,2096,249.0,1024.0,22.02,0,formula,,,11,105,1,11,0,179
PHYBench_117,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,2,919,49,1872,301.0,702.0,15.17,0,formula,,,2,33,3,12,3,87
PHYBench_42,Qwen14B,14.0,PHYBench,OPTICS,0,formula,2,428,60,1527,171.0,605.0,13.01,0,formula,,,2,65,3,16,0,100
PHYBench_45,Qwen14B,14.0,PHYBench,THERMODYNAMICS,0,formula,2,1132,107,1701,427.0,577.0,12.68,0,formula,,,7,35,6,16,8,165
PHYBench_37,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,3,1203,29,2151,373.0,375.0,8.08,0,formula,,,9,47,3,19,1,184
PHYBench_654,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,1,1329,114,1869,358.0,526.0,11.34,0,formula,,,3,82,0,20,9,91
PHYBench_244,Qwen14B,14.0,PHYBench,THERMODYNAMICS,0,formula,0,445,26,413,184.0,545.0,11.73,0,formula,,,4,15,2,5,2,26
PHYBench_25,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,4,449,21,777,180.0,728.0,16.23,0,formula,,,5,29,1,9,4,68
PHYBench_100,Qwen14B,14.0,PHYBench,MECHANICS,0,formula,1,966,37,4601,266.0,567.0,12.45,0,formula,,,0,207,0,26,2,276
PHYBench_89,Qwen14B,14.0,PHYBench,ELECTRICITY,0,formula,2,2220,386,5621,587.0,483.0,10.67,0,formula,,,14,280,4,28,14,442
OlympiadBench_802,Qwen14B,14.0,OlympiadBench,Physics,0,formula,1,651,8,476,233.0,598.0,13.17,0,formula,Competition,Mechanics,6,3,0,5,0,21
OlympiadBench_803,Qwen14B,14.0,OlympiadBench,Physics,0,formula,1,733,18,508,307.0,728.0,15.68,0,formula,Competition,Modern Physics,14,14,1,7,2,46
OlympiadBench_806,Qwen14B,14.0,OlympiadBench,Physics,0,formula,0,637,20,1315,222.0,414.0,9.14,1,formula,Competition,Mechanics,6,29,0,19,1,67
OlympiadBench_807,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,1,724,4,561,265.0,522.0,11.55,0,numeric,Competition,Mechanics,10,15,0,10,0,32
OlympiadBench_808,Qwen14B,14.0,OlympiadBench,Physics,0,formula,0,849,7,346,279.0,629.0,13.72,1,formula,Competition,Mechanics,10,14,5,4,0,36
OlympiadBench_810,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,0,1168,4,606,400.0,660.0,14.37,0,numeric,Competition,Electromagnetism,11,15,8,4,2,48
OlympiadBench_811,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,0,823,6,390,282.0,406.0,8.83,0,numeric,Competition,Thermodynamics,7,7,4,4,0,38
OlympiadBench_812,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,1,812,2,1093,238.0,787.0,17.25,0,numeric,Competition,Electromagnetism,5,27,0,4,13,33
OlympiadBench_813,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,1,604,5,618,239.0,787.0,17.18,0,numeric,Competition,Electromagnetism,5,26,5,7,7,40
OlympiadBench_814,Qwen14B,14.0,OlympiadBench,Physics,0,formula,0,483,5,558,173.0,269.0,5.85,0,formula,Competition,Optics,2,2,0,0,1,1
OlympiadBench_816,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,0,535,4,321,191.0,302.0,6.53,0,numeric,Competition,Optics,2,4,0,3,1,5
OlympiadBench_817,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,1,604,3,829,235.0,1024.0,22.29,0,numeric,Competition,Modern Physics,9,47,3,10,1,57
OlympiadBench_819,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,2,1323,5,423,548.0,531.0,11.43,0,numeric,Competition,Modern Physics,29,9,2,6,2,55
OlympiadBench_821,Qwen14B,14.0,OlympiadBench,Physics,0,formula,2,254,6,597,128.0,1024.0,22.51,0,formula,Competition,Modern Physics,1,35,1,9,4,44
OlympiadBench_823,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,2,993,1,500,354.0,552.0,12.05,1,numeric,Competition,Mechanics,7,8,1,1,0,25
OlympiadBench_826,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,1,1531,7,1350,417.0,1024.0,22.4,0,numeric,Competition,Thermodynamics,13,32,0,7,6,43
OlympiadBench_828,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,1,1335,4,1885,402.0,648.0,14.42,0,numeric,Competition,Thermodynamics,7,32,3,17,5,96
OlympiadBench_835,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,2,524,6,1779,210.0,1024.0,22.42,0,numeric,Competition,Mechanics,7,51,0,13,5,82
OlympiadBench_836,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,1,422,5,2469,176.0,573.0,12.44,0,numeric,Competition,Electromagnetism,3,162,0,9,4,107
OlympiadBench_837,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,0,874,7,1071,292.0,523.0,11.49,0,numeric,Competition,Mechanics,10,30,3,10,0,93
OlympiadBench_840,Qwen14B,14.0,OlympiadBench,Physics,0,formula,1,526,8,3107,188.0,442.0,9.53,0,formula,Competition,Electromagnetism,3,69,2,20,2,125
OlympiadBench_842,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,1,729,5,3147,280.0,888.0,19.67,0,numeric,Competition,Mechanics,9,38,8,20,4,179
OlympiadBench_844,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,0,212,1,571,114.0,1024.0,22.31,0,numeric,Competition,Electromagnetism,3,24,0,2,0,18
OlympiadBench_847,Qwen14B,14.0,OlympiadBench,Physics,0,formula,0,637,20,621,237.0,792.0,17.54,0,formula,Competition,Electromagnetism,6,26,4,3,0,37
OlympiadBench_849,Qwen14B,14.0,OlympiadBench,Physics,0,formula,1,1147,7,1261,383.0,704.0,15.01,0,formula,Competition,Thermodynamics,14,12,2,10,1,38
OlympiadBench_851,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,0,480,4,2511,203.0,633.0,13.96,0,numeric,Competition,Modern Physics,1,15,1,3,2,91
OlympiadBench_853,Qwen14B,14.0,OlympiadBench,Physics,0,formula,1,684,6,579,236.0,767.0,16.62,0,formula,Competition,Mechanics,4,24,2,5,2,32
OlympiadBench_856,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,0,367,5,1875,190.0,510.0,11.15,0,numeric,Competition,Electromagnetism,5,36,4,7,1,81
OlympiadBench_860,Qwen14B,14.0,OlympiadBench,Physics,0,formula,2,410,6,1324,174.0,545.0,12.07,0,formula,Competition,Mechanics,2,46,2,17,1,116
OlympiadBench_861,Qwen14B,14.0,OlympiadBench,Physics,0,formula,1,418,21,1290,177.0,527.0,11.57,0,formula,Competition,Mechanics,1,45,0,15,0,68
OlympiadBench_863,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,2,437,4,1050,178.0,479.0,10.42,0,numeric,Competition,Modern Physics,3,38,1,6,6,48
OlympiadBench_865,Qwen14B,14.0,OlympiadBench,Physics,0,formula,1,602,6,1736,281.0,511.0,11.31,0,formula,Competition,Mechanics,15,37,2,9,2,123
OlympiadBench_866,Qwen14B,14.0,OlympiadBench,Physics,0,formula,1,528,20,1964,238.0,773.0,16.7,0,formula,Competition,Mechanics,11,25,4,8,2,57
OlympiadBench_868,Qwen14B,14.0,OlympiadBench,Physics,0,formula,0,638,7,2516,217.0,509.0,11.22,0,formula,Competition,Mechanics,3,20,0,8,0,60
OlympiadBench_869,Qwen14B,14.0,OlympiadBench,Physics,0,formula,0,667,23,1422,259.0,1024.0,22.35,0,formula,Competition,Mechanics,10,10,5,3,4,27
OlympiadBench_870,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,0,1423,2,2028,421.0,687.0,15.06,0,numeric,Competition,Mechanics,9,71,0,6,0,85
OlympiadBench_871,Qwen14B,14.0,OlympiadBench,Physics,0,formula,0,566,21,2912,249.0,596.0,12.83,0,formula,Competition,Mechanics,13,108,1,20,0,225
OlympiadBench_872,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,0,671,5,1901,285.0,692.0,15.21,0,numeric,Competition,Thermodynamics,9,12,0,0,0,65
OlympiadBench_873,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,0,363,1,242,169.0,532.0,11.46,1,numeric,Competition,Mechanics,3,4,3,2,0,21
OlympiadBench_876,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,1,824,2,328,297.0,757.0,16.2,0,numeric,Competition,Mechanics,10,8,2,7,5,26
OlympiadBench_877,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,1,676,4,595,250.0,425.0,9.31,0,numeric,Competition,Mechanics,8,11,0,6,1,28
OlympiadBench_878,Qwen14B,14.0,OlympiadBench,Physics,0,formula,0,319,28,1471,132.0,475.0,10.37,0,formula,Competition,Optics,1,39,1,12,0,101
OlympiadBench_881,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,1,2525,2,631,849.0,1024.0,22.34,0,numeric,Competition,Thermodynamics,28,16,7,6,2,104
OlympiadBench_883,Qwen14B,14.0,OlympiadBench,Physics,0,formula,1,977,7,442,316.0,447.0,9.98,0,formula,Competition,Electromagnetism,11,16,5,5,9,30
OlympiadBench_884,Qwen14B,14.0,OlympiadBench,Physics,0,formula,1,397,21,660,175.0,551.0,12.01,0,formula,Competition,Thermodynamics,3,4,3,1,1,16
OlympiadBench_885,Qwen14B,14.0,OlympiadBench,Physics,0,formula,2,1097,7,924,401.0,689.0,14.96,0,formula,Competition,Mechanics,19,15,1,8,5,53
OlympiadBench_888,Qwen14B,14.0,OlympiadBench,Physics,0,formula,1,1135,6,1842,329.0,776.0,16.91,0,formula,Competition,Mechanics,12,73,1,20,0,111
OlympiadBench_890,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,0,358,3,2637,175.0,461.0,10.0,0,numeric,Competition,Optics,4,43,2,8,0,44
OlympiadBench_891,Qwen14B,14.0,OlympiadBench,Physics,0,formula,1,451,39,931,195.0,484.0,10.55,0,formula,Competition,Mechanics,6,36,5,11,2,84
OlympiadBench_893,Qwen14B,14.0,OlympiadBench,Physics,0,formula,1,697,7,1170,264.0,647.0,13.85,0,formula,Competition,Mechanics,9,24,7,12,4,78
OlympiadBench_894,Qwen14B,14.0,OlympiadBench,Physics,0,formula,1,527,8,2710,215.0,811.0,17.56,0,formula,Competition,Electromagnetism,6,46,4,11,2,111
OlympiadBench_897,Qwen14B,14.0,OlympiadBench,Physics,0,formula,2,614,7,2413,230.0,1024.0,22.31,0,formula,Competition,Electromagnetism,8,64,4,17,1,144
OlympiadBench_898,Qwen14B,14.0,OlympiadBench,Physics,0,formula,0,948,8,2921,365.0,1024.0,22.27,0,formula,Competition,Modern Physics,12,60,4,17,5,129
OlympiadBench_899,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,2,1197,3,1124,466.0,577.0,12.52,0,numeric,Competition,Modern Physics,12,20,7,7,6,79
OlympiadBench_900,Qwen14B,14.0,OlympiadBench,Physics,0,formula,0,617,6,3696,227.0,574.0,12.56,0,formula,Competition,Optics,6,86,0,20,0,128
OlympiadBench_901,Qwen14B,14.0,OlympiadBench,Physics,0,formula,1,338,22,1827,164.0,429.0,9.42,0,formula,Competition,Electromagnetism,8,44,2,11,0,50
OlympiadBench_902,Qwen14B,14.0,OlympiadBench,Physics,0,formula,1,650,13,1560,243.0,548.0,11.86,0,formula,Competition,Thermodynamics,4,7,4,14,3,138
OlympiadBench_903,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,0,1250,1,400,347.0,668.0,14.42,1,numeric,Competition,Mechanics,5,17,3,6,0,23
OlympiadBench_905,Qwen14B,14.0,OlympiadBench,Physics,0,formula,1,422,6,747,179.0,693.0,14.94,1,formula,Competition,Mechanics,4,14,2,11,0,45
OlympiadBench_907,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,0,918,6,1173,320.0,1024.0,22.03,0,numeric,Competition,Modern Physics,12,39,7,9,0,93
OlympiadBench_908,Qwen14B,14.0,OlympiadBench,Physics,0,formula,1,523,21,4324,228.0,407.0,8.94,0,formula,Competition,Thermodynamics,8,98,4,20,1,205
OlympiadBench_909,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,0,655,2,2560,272.0,610.0,13.42,0,numeric,Competition,Mechanics,19,128,1,20,0,172
OlympiadBench_910,Qwen14B,14.0,OlympiadBench,Physics,0,formula,3,900,21,1056,308.0,1024.0,21.97,0,formula,Competition,Mechanics,9,29,0,12,3,50
OlympiadBench_911,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,0,855,3,938,261.0,553.0,12.06,0,numeric,Competition,Modern Physics,4,15,0,8,0,53
OlympiadBench_912,Qwen14B,14.0,OlympiadBench,Physics,0,numeric,1,293,6,2006,147.0,316.0,6.92,0,numeric,Competition,Mechanics,3,37,0,16,1,65
OlympiadBench_915,Qwen14B,14.0,OlympiadBench,Physics,0,formula,1,473,6,1164,223.0,601.0,13.0,0,formula,Competition,Electromagnetism,17,76,0,9,1,75
OlympiadBench_917,Qwen14B,14.0,OlympiadBench,Physics,0,formula,1,659,7,1226,233.0,536.0,11.65,0,formula,Competition,Mechanics,4,35,0,12,2,82
